Haussmann Saint-Lazare,87281899,Samedi,2012-09-22,E,1,3037
Haussmann Saint-Lazare,87281899,JOB,2012-09-13,E,3,45383
Haussmann Saint-Lazare,87281899,JOB,2012-09-13,E,1,10719
Le Chénay Gagny,87113522,Dimanche,2012-09-23,E,1,315
Le Chénay Gagny,87113522,Samedi,2012-09-22,E,3,604
Le Chénay Gagny,87113522,Samedi,2012-09-22,E,1,732
Le Chénay Gagny,87113522,Dimanche,2012-09-23,E,4,167
Le Chénay Gagny,87113522,Dimanche,2012-09-23,E,2,858
Le Chénay Gagny,87113522,Dimanche,2012-09-23,E,3,563
Le Chénay Gagny,87113522,Samedi,2012-09-22,E,2,1289
Le Chénay Gagny,87113522,JOB,2012-09-13,E,3,592
Le Chénay Gagny,87113522,Dimanche,2012-09-23,E,0,28
Le Chénay Gagny,87113522,JOB,2012-09-13,E,0,138
Le Chénay Gagny,87113522,JOB,2012-09-13,E,1,3215
Le Chénay Gagny,87113522,JOB,2012-09-13,E,2,972
Le Chénay Gagny,87113522,Samedi,2012-09-22,E,0,60
Le Chénay Gagny,87113522,Samedi,2012-09-22,E,4,314
Le Chénay Gagny,87113522,JOB,2012-09-13,E,4,215
Le Raincy Villemomble Montfermeil,87113472,Dimanche,2012-09-23,E,2,2185
Le Raincy Villemomble Montfermeil,87113472,Dimanche,2012-09-23,E,4,526
Le Raincy Villemomble Montfermeil,87113472,Dimanche,2012-09-23,E,3,1639
Le Raincy Villemomble Montfermeil,87113472,JOB,2012-09-13,E,3,2437
Le Raincy Villemomble Montfermeil,87113472,JOB,2012-09-13,E,1,7218
Le Raincy Villemomble Montfermeil,87113472,JOB,2012-09-13,E,4,613
Le Raincy Villemomble Montfermeil,87113472,Samedi,2012-09-22,E,1,1825
Le Raincy Villemomble Montfermeil,87113472,JOB,2012-09-13,E,2,3480
Le Raincy Villemomble Montfermeil,87113472,Dimanche,2012-09-23,E,0,71
Le Raincy Villemomble Montfermeil,87113472,JOB,2012-09-13,E,0,583
Le Raincy Villemomble Montfermeil,87113472,Dimanche,2012-09-23,E,1,857
Le Raincy Villemomble Montfermeil,87113472,Samedi,2012-09-22,E,2,3742
Le Raincy Villemomble Montfermeil,87113472,Samedi,2012-09-22,E,3,1786
Le Raincy Villemomble Montfermeil,87113472,Samedi,2012-09-22,E,4,898
Le Raincy Villemomble Montfermeil,87113472,Samedi,2012-09-22,E,0,188
Les Boullereaux Champigny,87113779,JOB,2012-09-13,E,2,882
Les Boullereaux Champigny,87113779,Samedi,2012-09-22,E,0,69
Les Boullereaux Champigny,87113779,Dimanche,2012-09-23,E,3,561
Les Boullereaux Champigny,87113779,Dimanche,2012-09-23,E,4,206
Les Boullereaux Champigny,87113779,JOB,2012-09-13,E,4,207
Les Boullereaux Champigny,87113779,JOB,2012-09-13,E,0,147
Les Boullereaux Champigny,87113779,Dimanche,2012-09-23,E,2,912
Les Boullereaux Champigny,87113779,Dimanche,2012-09-23,E,1,296
Les Boullereaux Champigny,87113779,Samedi,2012-09-22,E,4,313
Les Boullereaux Champigny,87113779,Samedi,2012-09-22,E,1,583
Les Boullereaux Champigny,87113779,JOB,2012-09-13,E,1,2124
Les Boullereaux Champigny,87113779,Dimanche,2012-09-23,E,0,39
Les Boullereaux Champigny,87113779,Samedi,2012-09-22,E,2,1303
Les Boullereaux Champigny,87113779,JOB,2012-09-13,E,3,750
Les Boullereaux Champigny,87113779,Samedi,2012-09-22,E,3,761
Les Yvris Noisy le Grand,87113803,Dimanche,2012-09-23,E,1,46
Les Yvris Noisy le Grand,87113803,Samedi,2012-09-22,E,4,64
Les Yvris Noisy le Grand,87113803,Samedi,2012-09-22,E,3,136
Les Yvris Noisy le Grand,87113803,JOB,2012-09-13,E,2,204
Les Yvris Noisy le Grand,87113803,JOB,2012-09-13,E,4,31
Les Yvris Noisy le Grand,87113803,Dimanche,2012-09-23,E,4,33
Les Yvris Noisy le Grand,87113803,Dimanche,2012-09-23,E,0,6
Les Yvris Noisy le Grand,87113803,Samedi,2012-09-22,E,0,1
Les Yvris Noisy le Grand,87113803,JOB,2012-09-13,E,1,1032
Les Yvris Noisy le Grand,87113803,Samedi,2012-09-22,E,2,197
Les Yvris Noisy le Grand,87113803,Dimanche,2012-09-23,E,2,154
Les Yvris Noisy le Grand,87113803,Dimanche,2012-09-23,E,3,89
