Nom gare,Code Gare,Type jour,Date de comptage,Ligne,Tranche horaire,Montants
Haussmann Saint-Lazare,87281899,JOB,2012-09-13,E,De 10h à 16h,13920
Haussmann Saint-Lazare,87281899,Samedi,2012-09-22,E,Après 20h,8055
Haussmann Saint-Lazare,87281899,Dimanche,2012-09-23,E,Avant 6h,115
Haussmann Saint-Lazare,87281899,Dimanche,2012-09-23,E,De 10h à 16h,7823
Haussmann Saint-Lazare,87281899,Samedi,2012-09-22,E,De 6h à 10h,3037
Haussmann Saint-Lazare,87281899,JOB,2012-09-13,E,De 16h à 20h,45383
Haussmann Saint-Lazare,87281899,JOB,2012-09-13,E,De 6h à 10h,10719
Le Chénay Gagny,87113522,Dimanche,2012-09-23,E,De 6h à 10h,315
Le Chénay Gagny,87113522,Samedi,2012-09-22,E,De 16h à 20h,604
Le Chénay Gagny,87113522,Samedi,2012-09-22,E,De 6h à 10h,732
Le Chénay Gagny,87113522,Dimanche,2012-09-23,E,Après 20h,167
Le Chénay Gagny,87113522,Dimanche,2012-09-23,E,De 10h à 16h,858
Le Chénay Gagny,87113522,Dimanche,2012-09-23,E,De 16h à 20h,563
Le Chénay Gagny,87113522,Samedi,2012-09-22,E,De 10h à 16h,1289
Le Chénay Gagny,87113522,JOB,2012-09-13,E,De 16h à 20h,592
Le Chénay Gagny,87113522,Dimanche,2012-09-23,E,Avant 6h,28
Le Chénay Gagny,87113522,JOB,2012-09-13,E,Avant 6h,138
Le Chénay Gagny,87113522,JOB,2012-09-13,E,De 6h à 10h,3215
Le Chénay Gagny,87113522,JOB,2012-09-13,E,De 10h à 16h,972
Le Chénay Gagny,87113522,Samedi,2012-09-22,E,Avant 6h,60
Le Chénay Gagny,87113522,Samedi,2012-09-22,E,Après 20h,314
Le Chénay Gagny,87113522,JOB,2012-09-13,E,Après 20h,215
Le Raincy Villemomble Montfermeil,87113472,Dimanche,2012-09-23,E,De 10h à 16h,2185
Le Raincy Villemomble Montfermeil,87113472,Dimanche,2012-09-23,E,Après 20h,526
Le Raincy Villemomble Montfermeil,87113472,Dimanche,2012-09-23,E,De 16h à 20h,1639
Le Raincy Villemomble Montfermeil,87113472,JOB,2012-09-13,E,De 16h à 20h,2437
Le Raincy Villemomble Montfermeil,87113472,JOB,2012-09-13,E,De 6h à 10h,7218
Le Raincy Villemomble Montfermeil,87113472,JOB,2012-09-13,E,Après 20h,613
Le Raincy Villemomble Montfermeil,87113472,Samedi,2012-09-22,E,De 6h à 10h,1825
Le Raincy Villemomble Montfermeil,87113472,JOB,2012-09-13,E,De 10h à 16h,3480
Le Raincy Villemomble Montfermeil,87113472,Dimanche,2012-09-23,E,Avant 6h,71
Le Raincy Villemomble Montfermeil,87113472,JOB,2012-09-13,E,Avant 6h,583
Le Raincy Villemomble Montfermeil,87113472,Dimanche,2012-09-23,E,De 6h à 10h,857
Le Raincy Villemomble Montfermeil,87113472,Samedi,2012-09-22,E,De 10h à 16h,3742
Le Raincy Villemomble Montfermeil,87113472,Samedi,2012-09-22,E,De 16h à 20h,1786
Le Raincy Villemomble Montfermeil,87113472,Samedi,2012-09-22,E,Après 20h,898
Le Raincy Villemomble Montfermeil,87113472,Samedi,2012-09-22,E,Avant 6h,188
Les Boullereaux Champigny,87113779,JOB,2012-09-13,E,De 10h à 16h,882
Les Boullereaux Champigny,87113779,Samedi,2012-09-22,E,Avant 6h,69
Les Boullereaux Champigny,87113779,Dimanche,2012-09-23,E,De 16h à 20h,561
Les Boullereaux Champigny,87113779,Dimanche,2012-09-23,E,Après 20h,206
Les Boullereaux Champigny,87113779,JOB,2012-09-13,E,Après 20h,207
Les Boullereaux Champigny,87113779,JOB,2012-09-13,E,Avant 6h,147
Les Boullereaux Champigny,87113779,Dimanche,2012-09-23,E,De 10h à 16h,912
Les Boullereaux Champigny,87113779,Dimanche,2012-09-23,E,De 6h à 10h,296
Les Boullereaux Champigny,87113779,Samedi,2012-09-22,E,Après 20h,313
Les Boullereaux Champigny,87113779,Samedi,2012-09-22,E,De 6h à 10h,583
Les Boullereaux Champigny,87113779,JOB,2012-09-13,E,De 6h à 10h,2124
Les Boullereaux Champigny,87113779,Dimanche,2012-09-23,E,Avant 6h,39
Les Boullereaux Champigny,87113779,Samedi,2012-09-22,E,De 10h à 16h,1303
Les Boullereaux Champigny,87113779,JOB,2012-09-13,E,De 16h à 20h,750
Les Boullereaux Champigny,87113779,Samedi,2012-09-22,E,De 16h à 20h,761
Les Yvris Noisy le Grand,87113803,Dimanche,2012-09-23,E,De 6h à 10h,46
Les Yvris Noisy le Grand,87113803,Samedi,2012-09-22,E,Après 20h,64
Les Yvris Noisy le Grand,87113803,Samedi,2012-09-22,E,De 16h à 20h,136
Les Yvris Noisy le Grand,87113803,JOB,2012-09-13,E,De 10h à 16h,204
Les Yvris Noisy le Grand,87113803,JOB,2012-09-13,E,Après 20h,31
Les Yvris Noisy le Grand,87113803,Dimanche,2012-09-23,E,Après 20h,33
Les Yvris Noisy le Grand,87113803,Dimanche,2012-09-23,E,Avant 6h,6
Les Yvris Noisy le Grand,87113803,Samedi,2012-09-22,E,Avant 6h,1
Les Yvris Noisy le Grand,87113803,JOB,2012-09-13,E,De 6h à 10h,1032
Les Yvris Noisy le Grand,87113803,Samedi,2012-09-22,E,De 10h à 16h,197
Les Yvris Noisy le Grand,87113803,Dimanche,2012-09-23,E,De 10h à 16h,154
Les Yvris Noisy le Grand,87113803,Dimanche,2012-09-23,E,De 16h à 20h,89
Les Yvris Noisy le Grand,87113803,Samedi,2012-09-22,E,De 6h à 10h,98
Les Yvris Noisy le Grand,87113803,JOB,2012-09-13,E,De 16h à 20h,252
Les Yvris Noisy le Grand,87113803,JOB,2012-09-13,E,Avant 6h,16
Magenta,87281873,Samedi,2012-09-22,E,Avant 6h,361
Magenta,87281873,Dimanche,2012-09-23,E,De 10h à 16h,10312
Magenta,87281873,Samedi,2012-09-22,E,De 10h à 16h,15712
Magenta,87281873,Samedi,2012-09-22,E,De 6h à 10h,5381
Magenta,87281873,Samedi,2012-09-22,E,Après 20h,10339
Magenta,87281873,Dimanche,2012-09-23,E,De 16h à 20h,11266
Magenta,87281873,JOB,2012-09-13,E,De 6h à 10h,23382
Magenta,87281873,JOB,2012-09-13,E,Après 20h,8629
Magenta,87281873,JOB,2012-09-13,E,Avant 6h,620
Magenta,87281873,Dimanche,2012-09-23,E,De 6h à 10h,2956
Magenta,87281873,Dimanche,2012-09-23,E,Après 20h,7433
Magenta,87281873,JOB,2012-09-13,E,De 16h à 20h,31202
Magenta,87281873,Samedi,2012-09-22,E,De 16h à 20h,15255
Magenta,87281873,Dimanche,2012-09-23,E,Avant 6h,306
Magenta,87281873,JOB,2012-09-13,E,De 10h à 16h,14379
Nogent le Perreux,87113746,Dimanche,2012-09-23,E,De 16h à 20h,684
Nogent le Perreux,87113746,Dimanche,2012-09-23,E,Après 20h,259
Nogent le Perreux,87113746,Samedi,2012-09-22,E,De 10h à 16h,1881
Nogent le Perreux,87113746,JOB,2012-09-13,E,De 16h à 20h,1733
Nogent le Perreux,87113746,Samedi,2012-09-22,E,Avant 6h,51
Nogent le Perreux,87113746,JOB,2012-09-13,E,Après 20h,411
Nogent le Perreux,87113746,JOB,2012-09-13,E,De 10h à 16h,1661
Nogent le Perreux,87113746,Samedi,2012-09-22,E,De 16h à 20h,1243
Nogent le Perreux,87113746,Samedi,2012-09-22,E,Après 20h,427
Nogent le Perreux,87113746,Dimanche,2012-09-23,E,De 10h à 16h,1002
Nogent le Perreux,87113746,JOB,2012-09-13,E,Avant 6h,91
Nogent le Perreux,87113746,Dimanche,2012-09-23,E,De 6h à 10h,253
Nogent le Perreux,87113746,Samedi,2012-09-22,E,De 6h à 10h,844
Nogent le Perreux,87113746,JOB,2012-09-13,E,De 6h à 10h,3888
Nogent le Perreux,87113746,Dimanche,2012-09-23,E,Avant 6h,15
Noisy le Sec,87113217,JOB,2012-09-13,E,Après 20h,1865
Noisy le Sec,87113217,Dimanche,2012-09-23,E,Après 20h,1792
Noisy le Sec,87113217,Samedi,2012-09-22,E,Après 20h,2554
Noisy le Sec,87113217,Dimanche,2012-09-23,E,De 10h à 16h,5450
